date,close,volume,open,high,low
4/6/2016,5.3,4438001,5.23,5.4,5.15
4/5/2016,5.3,2245505,5.13,5.42,5.12
4/4/2016,5.05,2436379,5.16,5.16,5.015
4/1/2016,5.16,2112971,4.9,5.18,4.85
3/31/2016,5.04,1245778,5.25,5.25,5.04
3/30/2016,5.14,1634166,5.21,5.23,4.98
3/29/2016,5.25,1601852,4.99,5.25,4.91
3/28/2016,4.93,960436,4.96,4.97,4.83
3/24/2016,4.94,1628439,4.95,4.9615,4.8
3/23/2016,4.95,2237763,5.09,5.14,4.92
3/22/2016,5.24,1307299,5.38,5.45,5.16
3/21/2016,5.32,1634231,5.26,5.47,5.25
3/18/2016,5.29,6580753,5.3,5.39,5.15
3/17/2016,5.31,2803382,5.5,5.57,5.27
3/16/2016,5.42,3029451,4.93,5.42,4.92
3/15/2016,5.05,2163061,4.94,5.07,4.8
3/14/2016,5,3166366,5.21,5.3,4.95
3/11/2016,5.11,1746246,5.4,5.45,5.09
3/10/2016,5.39,2062983,5.15,5.51,5.15
3/9/2016,5.17,2266626,5.06,5.19,4.8
3/8/2016,5.15,2227404,5.24,5.26,5.045
3/7/2016,5.18,2242686,5.19,5.39,5.04
3/4/2016,5.02,3111948,5.05,5.29,5
3/3/2016,5.03,2143850,4.92,5.065,4.88
3/2/2016,4.88,967403,4.84,4.97,4.79
3/1/2016,4.82,2425423,4.97,5.02,4.7
2/29/2016,4.96,1497972,4.91,4.96,4.84
2/26/2016,4.81,2047717,4.76,4.9,4.63
2/25/2016,4.85,1907575,4.85,4.94,4.75
2/24/2016,4.89,3176945,5,5.05,4.77
2/23/2016,4.81,1870944,4.83,5,4.76
2/22/2016,4.74,1494200,4.71,4.94,4.71
2/19/2016,4.84,1761119,4.89,4.92,4.755
2/18/2016,4.9,3187594,4.63,4.94,4.63
2/17/2016,4.65,1857406,4.67,4.78,4.53
2/16/2016,4.57,2103226,4.71,4.89,4.48
2/12/2016,4.84,1950764,4.63,4.84,4.6
2/11/2016,4.71,3916684,4.78,4.925,4.58
2/10/2016,4.46,1683307,4.26,4.46,4.1302
2/9/2016,4.31,2644170,4.65,4.65,4.22
2/8/2016,4.57,3709019,4.56,4.8,4.52
2/5/2016,4.52,2548717,4.24,4.55,4.2
2/4/2016,4.31,1791159,4.46,4.46,4.29
2/3/2016,4.34,2424846,4.14,4.42,4.09
2/2/2016,4.07,1433045,4.07,4.22,4.03
2/1/2016,4.13,1906126,4.25,4.31,4.11
1/29/2016,4.21,955921,4.06,4.21,4.01
1/28/2016,4.06,1271924,4.08,4.15,3.98
1/27/2016,4.15,1964961,4.07,4.235,3.995
1/26/2016,4.07,2731601,3.98,4.24,3.95
1/25/2016,3.9,2783626,3.86,3.92,3.77
1/22/2016,3.8,3644013,3.69,3.88,3.62
1/21/2016,3.67,1626897,3.76,3.76,3.6
1/20/2016,3.8,2740752,3.59,3.865,3.5
1/19/2016,3.54,1711861,3.8,3.84,3.5
1/15/2016,3.79,1600931,3.86,3.89,3.67
1/14/2016,3.71,3112365,3.88,3.91,3.66
1/13/2016,3.9,1730253,3.93,4.06,3.82
1/12/2016,3.95,1863495,3.99,4.01,3.83
1/11/2016,4.04,1854571,4.28,4.28,4.01
1/8/2016,4.24,2087611,4.17,4.34,4.09
1/7/2016,4.27,3252070,4.3,4.33,4.01
1/6/2016,4.22,1631155,4.33,4.39,4.21
1/5/2016,4.28,2786507,4.35,4.43,4.26
1/4/2016,4.31,2155505,4.35,4.44,4.28
12/31/2015,4.21,985494,4.27,4.27,4.14
12/30/2015,4.25,647659,4.14,4.28,4.1233
12/29/2015,4.26,1191992,4.31,4.32,4.11
12/28/2015,4.26,883981,4.34,4.39,4.22
12/24/2015,4.4,539709,4.41,4.44,4.34
12/23/2015,4.4,1186451,4.33,4.41,4.26
12/22/2015,4.33,825966,4.36,4.41,4.26
12/21/2015,4.32,2678929,4.3,4.47,4.25
12/18/2015,4.25,3065645,4.1,4.35,4.07
12/17/2015,3.98,2560317,4.28,4.345,3.93
12/16/2015,4.47,3133217,4.38,4.595,4.34
12/15/2015,4.28,2043434,4.31,4.39,4.24
12/14/2015,4.28,1803312,4.32,4.39,4.21
12/11/2015,4.31,1604784,4.13,4.38,4.12
12/10/2015,4.19,1304542,4.11,4.24,4.1
12/9/2015,4.14,1217350,4.18,4.27,4.1
12/8/2015,4.07,1114389,4.07,4.14,3.975
12/7/2015,4.07,1628310,4.19,4.23,4.01
12/4/2015,4.26,3134956,3.99,4.27,3.99
12/3/2015,3.96,1481414,3.98,4.01,3.91
12/2/2015,3.94,1489724,3.8,3.98,3.7
12/1/2015,3.92,1789831,3.77,3.94,3.71
11/30/2015,3.74,2330190,3.6,3.76,3.6
11/27/2015,3.59,464585,3.51,3.61,3.4601
11/25/2015,3.59,883671,3.56,3.67,3.545
11/24/2015,3.6,1181192,3.63,3.68,3.56
11/23/2015,3.56,582969,3.47,3.6,3.47
11/20/2015,3.48,974046,3.65,3.67,3.445
11/19/2015,3.63,1063246,3.57,3.68,3.55
11/18/2015,3.56,819174,3.44,3.57,3.38
11/17/2015,3.44,908908,3.59,3.62,3.41
11/16/2015,3.62,1197433,3.63,3.69,3.59
11/13/2015,3.57,1216240,3.42,3.57,3.39
11/12/2015,3.47,906355,3.4,3.5,3.37
11/11/2015,3.48,834491,3.41,3.52,3.37
11/10/2015,3.41,860082,3.4,3.5,3.32
11/9/2015,3.44,1234744,3.24,3.47,3.24
11/6/2015,3.27,2597275,3.31,3.31,3.05
11/5/2015,3.45,1764536,3.58,3.6,3.44
11/4/2015,3.61,2162258,3.67,3.72,3.57
11/3/2015,3.67,1092124,3.61,3.7,3.6
11/2/2015,3.71,1949355,3.6,3.73,3.55
10/30/2015,3.62,1103113,3.64,3.69,3.59
10/29/2015,3.66,1285136,3.73,3.74,3.6
10/28/2015,3.75,2208731,3.9,3.94,3.64
10/27/2015,3.82,960986,3.78,3.8791,3.68
10/26/2015,3.79,1036441,3.96,3.97,3.78
10/23/2015,3.92,1400614,3.8,3.95,3.71
10/22/2015,3.76,1124794,3.65,3.76,3.57
10/21/2015,3.62,1022634,3.73,3.75,3.62
10/20/2015,3.75,897409,3.68,3.8,3.65
10/19/2015,3.67,1610593,3.75,3.815,3.61
10/16/2015,3.8,1451164,3.98,4.04,3.78
10/15/2015,4.03,1677548,3.93,4.05,3.89
10/14/2015,3.93,2534560,3.81,4.03,3.78
10/13/2015,3.75,806650,3.7,3.79,3.7
10/12/2015,3.75,834363,3.82,3.83,3.7
10/9/2015,3.8,1345468,3.84,3.86,3.7
10/8/2015,3.69,1219963,3.67,3.8,3.63
10/7/2015,3.77,1825897,3.82,3.82,3.56
10/6/2015,3.73,2137446,3.78,3.86,3.72
10/5/2015,3.71,1085137,3.72,3.825,3.7
10/2/2015,3.72,1268354,3.59,3.72,3.57
10/1/2015,3.46,1431117,3.64,3.72,3.45
9/30/2015,3.61,1125392,3.5,3.63,3.46
9/29/2015,3.52,833407,3.54,3.648,3.49
9/28/2015,3.5,1310633,3.62,3.68,3.48
9/25/2015,3.74,1570413,3.78,3.85,3.72
9/24/2015,3.83,1748303,3.7,3.86,3.67
9/23/2015,3.6,622594,3.58,3.66,3.54
9/22/2015,3.52,992725,3.65,3.73,3.49
